id;phone;address;document_number;document_type
1;991-328-53;Rupee;Pizza sticky;Cambridges
2;903223435;Account Funcionalidad Metal;synthesizing;Madera cal
3;957-578-83;scale calculating;por content;hack Credi
4;943531921;hacking navigating Estratega;drive;deposit In
5;972-591-17;Vasco disintermediate firewall;Metal Facilitador;acceso Cas
6;988.366.47;portal redundant Sorprendente;Silver;modelo
7;901319930;Sudanese Opcional optical;hardware reboot;Estratega 
8;995.341.25;International Rústico;hack;SQL Sopa w
9;934 947 02;estatica USB;Queso Vía;content
10;954654349;Adelante Ladrillo Parafarmacia;deposit Moda Violeta;Sierra med
